1. FracLac 2015Marb6206: File Slice (ROI) start position	2. Number (Ǥɴ) in SET (Ǥ) of SCAN POSITIONS (ɢ)	3. SCAN TYPE	4. Formula for FRACTAL DIMENSION (D)	5. Y₍ø₎ for the SET (Ø) of ALL (Øɴ) sampling ELEMENT SIZES (ø)	6. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	7. STANDARD DEVIATION (σ) for D	8. CV (σ/μ) for D 	9. ⋆D (D with highest r²)	10. ⋆r²	11. ⋆SE	12. ⋆Y-INT	13. Prefactor	14. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	15. Formula for Λ₍ɢ₎	16. λ₍ø₎ = (CV)² = (σ∕μ)²	17. Ｌ′ = MEAN Λ′₍ɢ₎ | Λ′₍ɢ₎ = REGRESSION LINE SLOPE for ln(λ₍ø₎+1) vs ln(ø)	18. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ	19. Mean Minimum ø	20. Mean Maximum ø	21. Standard Deviation in Ø∀ ɢ∈Ǥ	22. MEAN PREFACTOR LACUNARITY	

Imagen6tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,2648	0,0285	0,0225	1,2445	0,9832	0,1359	1,1342	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0132	
Imagen6tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,2648	0,0285	-0,0225	1,2445	0,9832	0,1359	7,658	Not Calculated	0,1677	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0327	100	5	233	0	0,0114	
Imagen6tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,2619	Not Calculated	Not Calculated	1,2619	0,9849	0,1305	9,6908	0,0001	0,1716	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0362	100	5	233	0	Not Calculated	

Imagen7tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,3194	0,0273	0,0207	1,2893	0,9862	0,1279	1,2295	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	267	0	0,0117	
Imagen7tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,3194	0,0273	-0,0207	1,2893	0,9862	0,1279	7,8502	Not Calculated	0,1673	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0458	100	5	267	0	0,0102	
Imagen7tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,3171	Not Calculated	Not Calculated	1,3171	0,9859	0,1319	10,0965	0	0,1698	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0486	100	5	267	0	Not Calculated	

Imagen8tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,3669	0,0303	0,0222	1,3337	0,9834	0,1451	1,0166	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0146	
